         963172 function calls (949932 primitive calls) in 4.794 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.001    0.001 {built-in method nt.scandir}
      462    0.001    0.000    0.001    0.000 {built-in method numpy.array}
      175    0.001    0.000    0.002    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:511(_compile_info)
       25    0.001    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\strings\object_array.py:46(_str_map)
     7650    0.001    0.000    0.001    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\inspect.py:2782(name)
     2507    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
      161    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
      306    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      160    0.001    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\numpy\lib\shape_base.py:612(column_stack)
        6    0.001    0.000    0.001    0.000 {method 'autocommit' of '_mysql_connector.MySQL' objects}
    153/3    0.001    0.000    1.148    0.383 <frozen importlib._bootstrap_external>:989(exec_module)
      368    0.001    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\generic.py:6301(__setattr__)
      106    0.001    0.000    0.002    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\construction.py:517(sanitize_array)
      350    0.001    0.000    0.001    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\enum.py:1541(__and__)
      175    0.001    0.000    0.015    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:969(parse)
      703    0.001    0.000    0.022    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\inspect.py:3325(signature)
     2794    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      112    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     2154    0.000    0.000    0.001    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:176(append)
      219    0.000    0.000    0.002    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\typing.py:175(_type_check)
      223    0.000    0.000    0.061    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\artist.py:1422(__init__)
      356    0.000    0.000    0.001    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\inspect.py:788(_findclass)
      160    0.000    0.000    0.189    0.001 <frozen importlib._bootstrap_external>:1488(_get_spec)
      117    0.000    0.000    0.172    0.001 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\artist.py:1837(kwdoc)
     6465    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\inspect.py:2794(kind)
      204    0.000    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\generic.py:278(__init__)
      153    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      104    0.000    0.000    0.221    0.002 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\artist.py:126(__init_subclass__)
     1275    0.000    0.000    0.004    0.000 {built-in method _abc._abc_instancecheck}
      159    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1585(_get_spec)
